image,address,bathrom,area,pet,district,price,bedroom,availability,id,type
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/330189/slide_4046531.v.8cf42fd6bbc214c2f2440964dc3571d0.jpg,28 Primrose Street,1,,No pets,Halifax,,1 - 2,No Vacancy,330189,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/330238/slide_4047339.v.6573b7324efcea576bcf3ffc67d949f9.jpg,5 Forbes Street,1,,No pets,Halifax,,1 - 2,No Vacancy,330238,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/330225/slide_4047208.v.a7e9cb1022ec9489e8b904ed5c3b6dd3.jpg,19 Primrose Street,1,,No pets,Halifax,,1 - 2,No Vacancy,330225,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/330216/slide_4047038.v.8b60375ebc77c7314649321ce42b3ed8.jpg,12 Trinity Ave,1,,No pets,Halifax,,1,No Vacancy,330216,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/330155/slide_4045980.v.5cabf103b49ea4eb7b5fe87b9f640866.jpg,127 Slayter St,1,,No pets,Halifax,,1,No Vacancy,330155,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/330151/slide_4045936.v.500a0554762d737529942e0105f53010.jpg,117 Albro Lake Rd,1,,No pets,Halifax,,2,No Vacancy,330151,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/330254/slide_4047621.v.938e9e5605842e8d7f5a76d0e3fcfd93.jpg,6 Galaxy Avenue,1,,No pets,Halifax,,2,No Vacancy,330254,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/330235/slide_4047298.v.5e1bc3d5a078c173fa6e70317e2e8a57.jpg,384.5 Portland Street,1,,No pets,Halifax,,1 - 3,No Vacancy,330235,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/330164/slide_4046087.v.31f3bf7699713cea31359436d7c90639.jpg,67 Caledonia Road,1,,No pets,Halifax,,1 - 2,No Vacancy,330164,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/333003/slide_4105191.v.8feb0596752ef9e38e2bd1159a64e113.jpg,117 Pinecrest Drive,1 -1.5,,Pets Ok,Halifax,,studio - 3,No Vacancy,333003,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/330161/slide_4046033.v.f1ab6e102f86662bca1534bebb408e77.jpg,4 Alfred Street,1,,No pets,Halifax,,1,No Vacancy,330161,Apartment
