beds_count,baths_count,image_2,other_features,bulding,price,image_0,image_3,image_1,address
1 ,1,https://img.zumpercdn.com/646680889/1280x960?fit=crop&h=208&w=329,In Unit Laundry | On Site Laundry | Outdoor Space,8 Mandaville Court,"$1,230",https://img.zumpercdn.com/646680887/1280x960?fit=crop&h=208&w=329,,https://img.zumpercdn.com/646680888/1280x960?fit=crop&h=208&w=329,"8 Mandaville Crt, Halifax, NS B3M 3H6"
1 ,1,https://img.zumpercdn.com/562067635/1280x960?fit=crop&h=208&w=329,Garage Parking | Balcony | Assigned Parking,Fairfax Suites,"$1,785",https://img.zumpercdn.com/669355342/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/562067636/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/669355343/1280x960?fit=crop&h=208&w=329,"76 Fairfax Dr, Halifax, NS B3S 1M8"
2 ,1,https://img.zumpercdn.com/487784575/1280x960?fit=crop&h=208&w=329,On Site Laundry | Fitness Center | Elevator,Terrace View,"$2,050",https://img.zumpercdn.com/487784574/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/487784576/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/487784573/1280x960?fit=crop&h=208&w=329,"41 Cowie Hill Rd, Halifax, NS B3P 2M7"
2 ,2,https://img.zumpercdn.com/702067053/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Garage Parking | On Site Laundry,Azure,"$2,210–$2,300",https://img.zumpercdn.com/702067051/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/702067054/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/702067052/1280x960?fit=crop&h=208&w=329,"16 Bently Dr, Halifax, NS B3S 0G9"
,,,,,,,,,
,,,,,,,,,
1 ,1,https://img.zumpercdn.com/690836999/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Garage Parking | On Site Laundry,Glenbourne Gardens,"$1,975",https://img.zumpercdn.com/690836997/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/690837000/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/690836998/1280x960?fit=crop&h=208&w=329,"634 Parkland Dr, Halifax, NS B3S 1N3"
1 ,1,https://img.zumpercdn.com/674310738/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Garage Parking | Balcony,"556 Bedford Hwy, Halifax, NS B3M 4X7","$1,850",https://img.zumpercdn.com/674310737/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/674310746/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/674310739/1280x960?fit=crop&h=208&w=329,"556 Bedford Hwy, Halifax, NS B3M 4X7"
2 ,2,https://img.zumpercdn.com/591352615/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Air Conditioning | Garage Parking,"7037 Mumford Road, Halifax, NS B3L 2J1","$3,695",https://img.zumpercdn.com/591352617/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/591352584/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/591352618/1280x960?fit=crop&h=208&w=329,"7037 Mumford Road, Halifax, NS B3L 2J1"
2 ,2,https://img.zumpercdn.com/712970192/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Air Conditioning | Garage Parking,"5450 Kaye Street #903, Halifax, NS B3K 1W8","$4,695",https://img.zumpercdn.com/712970200/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/712970196/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/712676423/1280x960?fit=crop&h=208&w=329,"5450 Kaye Street #903, Halifax, NS B3K 1W8"
